"term","frequency","density","occurrence"
"   ",1,1.8136641456735e-05,0.002
"aaaaaaibzbaaaahgaaaaaaaadcpdiweiqgrscaarlgcaqaaaaaaaaauaaaaawazqaaaaaad",1,1.8136641456735e-05,0.002
"aaaaqacgqggbgaaaaaawaaaaaaaaeyaaaaayiuaaaaaaaaaaaaacwcgqggbgaaaaaawaaaaaaa",1,1.8136641456735e-05,0.002
"aaaargaaaabuhqaaaqaaaauaaaaxmcwaaaaaamauieiiayaaaaaamaaaaaaaabgaaaaaagfaaaa",1,1.8136641456735e-05,0.002
"aabdtlmrvmaabaouabaaaaagaaacaaaadaalzaqaaaasawieiiayaaaaaamaaaaaaaabgaaaa",1,1.8136641456735e-05,0.002
"aafaaaaaaaaawbwgqggbgaaaaaawaaaaaaaaeyaaaaauouaafmuaqaeahgbccagaaaaaadaaaaa",1,1.8136641456735e-05,0.002
"aawaaabdblszswguvhbgaeaboaqaaaccaaabtyxzlihvwihrvidcwjsbvbibpbnrlcmhdglv",1,1.8136641456735e-05,0.002
"abandoned",3,5.44099243702051e-05,0.004
"abbreviated",1,1.8136641456735e-05,0.002
"abbreviation",1,1.8136641456735e-05,0.002
"abdominal",1,1.8136641456735e-05,0.002
"abducted",1,1.8136641456735e-05,0.002
"abductions",1,1.8136641456735e-05,0.002
"aberdeenshire",1,1.8136641456735e-05,0.002
"aberrant",1,1.8136641456735e-05,0.002
"aberration",1,1.8136641456735e-05,0.002
"abilities",2,3.62732829134701e-05,0.004
"ability",20,0.000362732829134701,0.038
"a billion here a billion 
there    ",1,1.8136641456735e-05,0.002
"a billion here a billion there   ",1,1.8136641456735e-05,0.002
" a billion here a billion there and pretty soon 
youre talking real money",1,1.8136641456735e-05,0.002
"abilty",1,1.8136641456735e-05,0.002
"a bit better",1,1.8136641456735e-05,0.002
"abiword",5,9.06832072836752e-05,0.004
"able",44,0.000798012224096342,0.078
"ablock",5,9.06832072836752e-05,0.002
"abound",2,3.62732829134701e-05,0.004
"abounds",1,1.8136641456735e-05,0.002
"about",10,0.00018136641456735,0.02
"above",5,9.06832072836752e-05,0.01
"abpaaaaaabameabaaaabwaaaenpwuxfuwaahgaxqaeaaaahaaaaqztevtaaaeadhaaqaaaaca",1,1.8136641456735e-05,0.002
"abraham",1,1.8136641456735e-05,0.002
"abroad",3,5.44099243702051e-05,0.004
"absence",7,0.000126956490197145,0.01
"absense",2,3.62732829134701e-05,0.004
"absent",3,5.44099243702051e-05,0.006
"absolute",5,9.06832072836752e-05,0.01
"absolutely",10,0.00018136641456735,0.02
"absolutely nothing",1,1.8136641456735e-05,0.002
"absolutly",1,1.8136641456735e-05,0.002
"absorbed",1,1.8136641456735e-05,0.002
"absorbing",1,1.8136641456735e-05,0.002
"absurdities",1,1.8136641456735e-05,0.002
"abu",2,3.62732829134701e-05,0.004
"abundantly",1,1.8136641456735e-05,0.002
"abuse",1,1.8136641456735e-05,0.002
"acaanwawacuamgaacaabwbuacaaaqbuahqazqbyagayqbagkabwbuageabaagagmayqbsagwa",1,1.8136641456735e-05,0.002
"academic",7,0.000126956490197145,0.01
"academy",5,9.06832072836752e-05,0.002
