"term","frequency","density","occurrence"
"",1,8.00864934128859e-06,0.002
"áµµ",1,8.00864934128859e-06,0.002
"ááà",1,8.00864934128859e-06,0.002
"åªªªªªªªªªªªªªªªªªªªªªªªªªªªªªªªª",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",30,0.000240259480238658,0.004
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxl",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacmmvzcjzld",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacuwlcuwmdlo",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafgaccgsfhoei",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabcfudhgkxt",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmh",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafcvwyfklcuxrmplf",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaafgaccgsfhoeiiyql",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmhyv",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacnlzcunljfetbkvts",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakeswvwwfcvwyfkapabaaap",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaakrgujkdaljhgyaxwxhxsvbulteql",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadhcsueerfjqmgvwywdnzwqgrmxh",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaagvsapweyxbytgyxreplfhkgswrocbm",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahjjoltwvgvcjzydvdsrjedojlvaamgaaf",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabywvogaaaaaaaabscaadngaaacvhzwiaaaaaa",2,1.60172986825772e-05,0.004
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaarlzdxbyvyzhrgblmhyvcwrlzdxbyaaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaavyzhrgskeswvwalzdxaawfcvwyfklaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaacfiqrcnxiqjrkxkvmlckdfcezyrkmynnjrky",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaawvvzwzwjjfzdtdjpajnlovtkhhdfzqxy",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaafcvwyfklcuxrmplfajeswvwafhxlmhyvcwaaaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmhyvaevwyfklcuxrmplffgaaaaaaaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaaaothgyosyjhdohljurmgdxbtjbtucrqikgazzkpwma",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaabyulglkswtnvpiwpyqklzapopdjznthtcytodnv",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaaafcvwyfklcuxrmplfajeswvwafhxlmhyvcwaaaaaaaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaaahkquxpqiotafethrliipyfqbrmodyyfnrlnvopxxmo",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmhyvagblmhyvcwrlzdxbyaaaaaaaaaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaacuxrmplffhxlmhyvagblmhyvcwrlzdxbyaaaaxkk",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaaaafcvwyfklcuxrmplfaacxrmplffhxlmhyvagsaaaaaaaaaa",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaaabcnmhoeclodjzgufjnyficqaawdeywjutnvkivleocjttu",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaabdtdjsxugidfdjnlpyaduyaaabbwvqrbugjgrsfdccc",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaakeswvwafhxlmhyvakqafpdgaaaqnzghnqqeprntgpqsobl",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaaaazsqaaaaaaaaadasbbwkrrsjyswkmuxacqmspdlakneyuntwj",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaacjwwsqqtgpjjdvjdqqollxpkmzdvrlgxpodmuvmjvrg",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaaaylzaazxvdkoabldumaaaaaqrthbnyulwamaaaaaajzonchobwkkry",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaaaixgzdpipuvqrqaafnlbzjjpfogfrqmzkofawgmffduympfqjfzp",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaaafcvwyfklcuxrmplfajeswvwwfcvwyfklaaaaaaaaaabmdoxutoz",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaaadzrbqezqfuebbxkezxplndtunvhbccevixpprkeuzpdtzahl",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaapmkzscptdskmnxtaapbhclusqxurxmfgnvatxsooldde",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaehdbwqtvzxsamaqdfaqpfficyaaajoyfazosscsqaehfumiprhxnpky",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaagigbvwcopyaqisuksdpdwxwhrrlwnzwsrtpuovedpelyllnczhf",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaaotzppvfnvyenyusgnjgzbbfdeuwlarhxaxamnswtsqcemnhoedly",1,8.00864934128859e-06,0.002
"aaaaaaaaaaaavyzhrailcuxrmplfajeswvwwfcvwyfklaaaaaaaaaaaaaaaaaaaaahny",1,8.00864934128859e-06,0.002
